10,1
14,5
4,3
4,13
14,10
10,15
13,5
3,5
5,15
1,9
11,12
10,2
0,5
4,1
3,11
13,10
10,0
13,5
3,4
5,14
0,10
11,13
11,3
1,5
5,0
3,11
13,10
10,13
11,3
15,6
4,4
5,0
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,15
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,14
3,10
14,10
10,14
12,4
1,5
4,0
2,11
12,11
10,0
13,5
3,5
5,0
3,11
15,9
11,12
10,1
13,5
2,5
5,0
3,11
14,10
10,14
12,4
1,5
5,0
3,10
13,10
10,14
11,4
15,6
4,4
5,15
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,15
3,11
15,10
11,11
10,0
11,4
15,6
4,4
5,15
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,15
3,11
15,9
10,12
10,2
14,6
4,3
4,13
14,10
10,15
13,5
3,4
5,14
1,9
11,12
11,3
1,5
5,1
3,11
14,9
10,13
10,3
14,6
4,5
6,15
3,10
14,10
10,14
12,4
1,5
5,0
2,10
12,10
9,1
14,6
4,4
5,13
15,10
11,14
12,4
2,5
5,15
2,10
11,12
10,2
0,5
4,1
3,11
13,10
10,15
12,5
1,5
5,2
4,12
0,9
11,11
10,0
12,4
0,6
4,3
5,15
3,11
15,9
11,12
10,1
12,5
1,5
5,2
4,12
15,9
10,13
11,3
1,5
5,0
2,10
12,11
10,1
14,6
4,3
5,13
15,10
11,14
12,4
2,5
5,15
2,10
12,11
10,2
0,5
4,1
3,11
13,10
10,0
13,5
3,5
6,14
1,9
11,11
9,1
14,6
3,5
6,0
3,10
15,9
10,12
10,1
12,5
0,6
4,3
5,15
3,11
15,9
10,12
10,2
14,6
3,5
6,15
2,9
12,11
10,1
14,6
4,3
4,13
14,10
10,15
13,5
3,5
5,15
1,9
12,10
9,1
13,6
3,5
5,0
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,15
3,11
0,10
12,11
10,15
11,3
14,5
3,4
5,1
4,13
1,10
12,10
10,14
11,3
14,5
2,5
5,1
4,13
2,10
13,10
10,13
10,3
15,6
4,3
5,13
0,10
11,13
11,3
1,5
5,0
2,10
12,11
9,1
14,6
4,5
6,14
1,9
11,10
9,1
13,6
3,5
6,0
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,15
3,11
15,10
11,12
10,0
12,4
0,6
4,4
5,15
3,11
15,9
11,12
10,2
13,6
3,5
5,15
1,10
12,11
9,1
14,6
3,5
6,15
2,10
14,10
10,13
11,2
13,5
1,5
5,2
5,14
2,10
14,10
10,13
10,2
14,6
3,5
5,15
2,10
13,10
10,15
13,5
2,5
5,15
1,10
11,12
10,2
0,5
4,1
3,11
13,10
10,0
13,5
3,5
5,0
3,11
15,9
11,12
10,0
12,5
0,6
4,3
5,15
3,11
15,9
10,12
10,1
13,5
2,5
5,0
3,11
14,10
10,14
12,4
1,5
5,0
3,11
14,10
10,13
11,3
15,6
4,4
5,15
3,10
14,10
10,13
11,3
15,6
4,3
4,13
15,10
11,13
11,3
0,6
4,3
5,13
1,10
12,10
10,14
11,3
15,5
3,4
5,1
4,12
1,10
12,11
10,14
11,2
14,5
2,5
5,2
5,13
2,10
13,10
10,14
11,3
15,6
4,4
5,14
1,9
11,11
10,2
0,5
4,1
3,11
13,10
10,0
13,5
3,4
5,14
0,9
11,11
10,2
14,6
4,4
6,15
2,10
13,10
10,14
11,3
15,6
4,4
5,14
1,9
12,11
9,1
14,6
3,5
6,14
2,9
12,10
9,15
12,5
0,6
4,3
5,15
3,10
15,9
10,12
10,0
12,5
0,6
4,3
5,15
3,11
15,10
11,12
10,0
12,4
0,6
4,4
5,15
3,11
15,9
11,12
10,0
12,4
0,5
4,3
5,15
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,14
2,10
13,10
10,15
13,5
2,5
5,15
2,10
12,10
9,1
13,6
3,5
6,0
3,11
15,9
11,12
10,0
12,5
0,6
4,3
5,15
3,11
15,9
11,12
10,1
13,5
2,5
5,0
3,11
13,10
10,15
13,5
3,5
5,15
1,9
11,12
10,2
0,5
4,1
3,11
12,10
10,0
14,5
3,4
5,14
0,10
11,12
11,2
0,5
4,2
4,12
0,9
11,11
10,1
13,6
2,5
5,1
4,12
0,9
11,12
10,2
15,5
4,2
3,12
14,10
10,15
13,5
3,4
5,14
0,10
11,13
11,3
1,5
5,0
2,10
12,11
9,1
14,6
4,5
6,14
1,9
11,10
9,1
14,6
3,5
6,0
3,11
15,9
11,12
10,0
12,4
0,6
4,3
5,15
3,11
15,10
11,11
10,15
11,4
15,6
4,4
5,0
3,12
0,10
12,11
10,15
11,2
14,5
1,5
4,2
5,14
3,10
14,9
10,12
10,1
12,5
0,6
4,3
5,15
3,10
14,10
10,13
10,2
14,6
4,3
